delegator,validator,voting power
odin13jgurnd72ftvy79tjtl3s8e6xvsuupwreft506,odinvaloper1pjcyssl7ewhtlp4dqn596hu3gr7xs9su2z67tp,3100000.000000
odin1qerev5feaft35fp2n3ept7fdsheud52z0gzne0,odinvaloper12hpn6mxulk8gt9zu0hs5lv20y666gmuszjfy3h,2050000.000001
odin1qerev5feaft35fp2n3ept7fdsheud52z0gzne0,odinvaloper1s009mue6fg6usnd8dfyvtvcckndtxsxjd5shs7,2050000.000000
odin1qerev5feaft35fp2n3ept7fdsheud52z0gzne0,odinvaloper1weryas9wx2saawjuefxtkxt0ayv9956ytmls6h,2000000.000000
odin13jgurnd72ftvy79tjtl3s8e6xvsuupwreft506,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,2000000.000000
odin1qerev5feaft35fp2n3ept7fdsheud52z0gzne0,odinvaloper1ypmlekjd2mhjlh0263wtqjmskz77sclsxchm53,2000000.000000
odin1qerev5feaft35fp2n3ept7fdsheud52z0gzne0,odinvaloper1k4uuv8aanj3ejs0qhqmsax9d6lzmp0plz4zxu7,2000000.000000
odin1lqk7gsq40dskpcukavkwuh7t73cnh9tjfgqxkp,odinvaloper1xgp94zvrqqk0mhd0eh4hqk27y4kjvq4jdwqcnz,1849970.000040
odin13jgurnd72ftvy79tjtl3s8e6xvsuupwreft506,odinvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57z9yperl,1800000.000000
odin13jgurnd72ftvy79tjtl3s8e6xvsuupwreft506,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,1400000.000000
odin1lqk7gsq40dskpcukavkwuh7t73cnh9tjfgqxkp,odinvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57z9yperl,1250000.000000
odin1qerev5feaft35fp2n3ept7fdsheud52z0gzne0,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,1064967.506665
odin1qerev5feaft35fp2n3ept7fdsheud52z0gzne0,odinvaloper1xgp94zvrqqk0mhd0eh4hqk27y4kjvq4jdwqcnz,1000001.000000
odin1qerev5feaft35fp2n3ept7fdsheud52z0gzne0,odinvaloper1pjcyssl7ewhtlp4dqn596hu3gr7xs9su2z67tp,1000000.000000
odin1lqk7gsq40dskpcukavkwuh7t73cnh9tjfgqxkp,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,1000000.000000
odin13jgurnd72ftvy79tjtl3s8e6xvsuupwreft506,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,1000000.000000
odin13jgurnd72ftvy79tjtl3s8e6xvsuupwreft506,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,1000000.000000
odin13jgurnd72ftvy79tjtl3s8e6xvsuupwreft506,odinvaloper18xzaak0mxtzy9dsral8yucpfdak7mhc3ywjapu,1000000.000000
