delegator,validator,bonded token
odin1vc0fj5e86nymn8shejs3a2q89mv2yxxa5nr006,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,3000000
odin1vc0fj5e86nymn8shejs3a2q89mv2yxxa5nr006,odinvaloper1usa0ldz9lhfd7zf5h93qtzn0st9uqtd949x9ww,300000
odin1ezz9vww05ylh6zmkmwnrfwslf3tkwmwda3p2jy,odinvaloper1pcwlans8a2xtfddx04n6vhal5wx8jsvmxean8n,7992802
odin1ezz9vww05ylh6zmkmwnrfwslf3tkwmwda3p2jy,odinvaloper1wuwhanclwh9ckpe6z6480t3pjjpk7dsj2trk9p,3000000
odin148yradenncq6phhcj0rsy2ze7fmvk877npap49,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,2450305030
odin148yradenncq6phhcj0rsy2ze7fmvk877npap49,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,1163541007
odin1pjl3v60ecq5emlw3h5e6jx70yygcvnr337s7jw,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,10407084902
odin1pjl3v60ecq5emlw3h5e6jx70yygcvnr337s7jw,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,9862743603
odin1puy0ajtq3tvkx5d9z8xj9stkl4j0tz8gdvmsqj,odinvaloper1jj2xx0en2wcs8vj3n4s6lkf8gjqqwtkh8996st,1500000000
odin1puy0ajtq3tvkx5d9z8xj9stkl4j0tz8gdvmsqj,odinvaloper1weryas9wx2saawjuefxtkxt0ayv9956ytmls6h,1250000000
odin1puy0ajtq3tvkx5d9z8xj9stkl4j0tz8gdvmsqj,odinvaloper12hpn6mxulk8gt9zu0hs5lv20y666gmuszjfy3h,30000000
odin1puy0ajtq3tvkx5d9z8xj9stkl4j0tz8gdvmsqj,odinvaloper1z2mdr2unlrnqnwzu03ujym078pp8g4wy9k6hqd,23
odin1n7ppvyeyl7wj75khxls9ddh9gwvzpahamgu338,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,14500000000
odin1n7ppvyeyl7wj75khxls9ddh9gwvzpahamgu338,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,13000000000
odin1n7ppvyeyl7wj75khxls9ddh9gwvzpahamgu338,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,5000000000
odin103fn4l3pta4uynm3s3anpzlw7qxkar66060any,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,6999300000
odin103fn4l3pta4uynm3s3anpzlw7qxkar66060any,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,3400000000
